作者,看板,標題,時間,分數,內容
lovelove5566 (56精神),movie,[討論] 預測索尼收回蜘蛛人的玩法！,Wed Aug 21 22:17:47 2019,27,"
從陶比3和加菲2來看，
索尼總有一種難以戒掉的習性，
那就是「急著賺錢」、「急著端出所有菜」！

以前總有漫威管制，
凡事都要一步一步來，

但索尼還是忍不住規劃了 吸血鬼莫比亞斯、獵人克萊聞、黑貓與銀貂...這些543的電影
！

現在少了漫威這個剎車，
我們索尼總算能瘋狂加速了！

以下大膽預測索尼接下來的玩法！！

————————

索尼接手後的荷蘭第三集：

猛毒直接登場並且連結，
屠殺也登場，
邪惡六人組也登場，
關也登場，

關剛出會三角戀，但沒多久就會死，
結局是荷蘭跟MJ結婚。

然後索尼忍不住想趕快告訴大家，
還有個黑蜘蛛人！
所以邁爾斯也登場，

片尾1:
荷蘭領便當，邁爾斯當新蜘蛛人。

片尾2:
索尼忍不住想告訴大家還有黑貓與銀貂，
荷蘭死後，MJ意外發現荷蘭在外面偷吃黑貓，
然後預告黑貓與銀貂電影。

片尾3:
索尼覺得想說的東西太多了，
所以獨創第三個片尾預告，
梅嬸整理照片時，看到自己年輕照片，
索尼預告拍攝梅嬸前傳。


————————

索尼接手第四集
（索尼拼命拍攝，兩年內就上映了）

邁爾斯直接打蜘蛛人宇宙大戰，

但索尼忍不住想告訴大家，
彼得會有個女兒也能接班蜘蛛人，
所以邁爾斯這集就死了。

片尾1:
告訴大家還有更多的蜘蛛人要大戰。

片尾2:
索尼忍不住了，彼得女兒長大了。

片尾3:
索尼預告還要拍彼得爸媽前傳、班叔叔外傳、肥仔同學外傳、禿鷹傳

————————-

索尼接手第五集

沒有這一集！
因為前兩集爆了，蜘蛛人宇宙電影也都爆了，
索尼宣佈重啟，且不排除與漫威重啟談判。


中場花絮1:
導演表示索尼高層關切多次，壓力很大。

中場花絮2:
索尼表示他們想說的蜘蛛人故事太多了，
目標是一年3-4部蜘蛛人電影，
要給大家滿滿的蜘蛛人 ！


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.218.87.155 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566397069.A.84C.html
※ 編輯: lovelove5566 (49.218.87.155 臺灣), 08/21/2019 22:25:35
※ 編輯: lovelove5566 (118.170.190.173 臺灣), 08/22/2019 01:53:26
"
Superman007 (),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 22:27:05 2019,-1,"
真的天大的笑話

現在一堆人說蜘蛛人不靠漫威單索尼拍也夠賺

到底那裡來的邏輯？


蜘蛛人就是靠漫威啊

蜘蛛人是當年漫威漫畫創造的角色

沒有漫威

會有蜘蛛人？

蜘蛛人會紅？

蜘蛛人就是靠漫威

從根本就是

也就是因為這樣所以當初即使賣給索尼

索尼也能排出好成績

票房也是

這些都是靠漫威

靠漫威的蜘蛛人自己本身的火紅

所以蜘蛛人就是靠漫威

別再說什麼蜘蛛人不是靠漫威這種話

真的很好笑

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.132.155 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566397627.A.959.html
"
leelee688 (雲寒陵),movie,[微雷] 全面攻佔3 ,Wed Aug 21 22:29:20 2019,6,"






去電影院刷完了這部，









——————————————以下防雷——————————————————


先簡單說一下感想。
故事線呈現下面這樣一個循環……


——恐攻→爆炸→恐攻→爆炸→爆炸


總之，
爆了又爆，爆了又爆，繼續爆。
喜歡第一部的步調，和第二部的爆破場面的人應該會喜歡第三部。


我是抱著爆米花電影的期待進場去看，
但是看到親情和信任的部份的時候，
依然有一種在那一瞬間被戳到的感覺。


整部電影的故事線很簡單，
有人想殺總統，我們得救總統。


但是在這樣子的套路中，還是有玩出新把戲。
這一次不只要救總統，
還需要拯救自己，全程節奏明快，基本沒有冷場。


Mike的內心世界，
以及他的黑暗面在這一部裡頭是我相當喜歡的橋段。


如果沒看過前面兩部，這部可以輕鬆當爽片看，
記得挑聲光效果好一點的大廳，這部很吃聲光效果。


看完以後覺得應該去IMAX看的……………………



———————————————以上防雷—————————————————















--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.162.204.89 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566397762.A.5E5.html
"
SakuraHana (櫻花),movie,Re: [討論] 局外人看索尼和迪士尼關於蜘蛛人的談判,Wed Aug 21 22:44:53 2019,-8,"
推測是漫威和荷蘭弟把蜘蛛人的名聲做起來，

索尼推斷漫威不會放棄這個人物，於是獅子大開口，

弄得漫威不爽，乾脆走人。

嘖嘖！貪得無厭的日本人…

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.168.36.242 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566398696.A.222.html
"
Katarn ( ),movie,[片單] 花長時間鋪陳希望 最後卻沒實現的電影,Wed Aug 21 23:12:58 2019,18,"



1. 請簡述自身需求片單理由 或 欲尋找電影的類型或特徵（請盡量描述清楚）


   其實主要是去年看了復三後，一直覺得復三在索爾受創到拿到風暴破壞者

   花了相當多精心的鋪陳，暗示強調這武器的重要性和關鍵性，

   配樂激昂、自我開爐、格魯特斷手成柄，一堆畫面都很經典，

   以及復三最後從天而降帶來一線生機，也強到能拆運兵艦，但想不到卻是功敗垂成，


   然後到了復四大戰，三元老中又是表現最悽慘的，被海扁+武技表現輸美隊，

   牽制薩諾斯拿手套結果被頭槌擊倒，拿來對比驚隊挨頭槌沒事兒，雖然是變胖了沒錯，

   但是花那麼多時間鋪陳他和風暴破壞者，最後卻沒有驚艷的表現，就我的觀影經驗

   是相當罕見的，所以想問問有沒有同樣情節設計的片單可以看看，謝謝。



2. 已知符合需求的電影或偏好的電影類型（為避免重複推文，請至少列舉一部）

   就復三到復四

3. 不喜歡的電影類型            （不需要板友推薦的電影片名）

   目前都可以，情節設計相似即可。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 122.116.224.15 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566400380.A.5A5.html
"
tzujan (無),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 23:19:58 2019,8,"
太棒了


索尼自己拍蜘蛛人絕對支持


現在的蜘蛛人看票房表現是不錯


但是和前幾版的蜘蛛人 內涵根本差了十萬八千里



以前蜘蛛人的心境轉折  描述的很好


還有反派也非常有特色


現在有啥，完全看不出來


有時候看真的就像小孩子看的電影讓我滿臉尷尬



反而蜘蛛人脫離威漫  可以讓蜘蛛人劇情更加純粹

-----
Sent from JPTT on my LGE LG-H870DS.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.240.98.54 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566400808.A.F4A.html
"
tl292399 (北極兔),movie,[請益] 全面攻佔3要先看過前兩集嗎？,Wed Aug 21 23:24:39 2019,19,"

我朋友約說要去看全面攻佔3，
但前兩集對我來說太久遠了
我對全面攻佔系列的概念就只有……

總統會一直被綁架，
有很多很多的爆炸場景，

這一集看了一下預告片，好像就是
主角被陷害，
他要想辦法扭轉局勢。

我自己對這種主角面對逆境的主題，
是還滿感興趣的，
尤其是哪種想盡辦法逃生，
或是想盡辦法洗刷自己冤屈，
這種硬漢在逆境中求生存的劇情和鏡頭，
一直都容易戳中我！！！


所以其實是滿想要今天衝一下搶首輪。
不過目前還在猶豫中……

保險起見上來問一下大家，
還沒有看過全面攻佔一和二的話，
那我適合進戲院看三嗎……？


也順便問一下，
看這一部需要先做怎樣的觀影準備呢？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.245.44 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566401081.A.DC9.html
※ 編輯: tl292399 (101.12.245.44 臺灣), 08/21/2019 23:25:42
"
ronray7799 (生而為人超爽der),movie,Re: [討論] 駭客任務4確定2020年開拍,Wed Aug 21 23:27:25 2019,7,"
※ 引述《tim200513 (瞧不起肥宅的胖子)》之銘言：
: 看到基努回歸固然開心
: 但說實在的我對這續集沒有一絲的期待更擔心一個經典會就此殞落
: 駭客任務系列目前來看已經夠完整夠好看了
: 雖然我覺得2.3集講的東西已經開始有點虛無縹緲了
: 但第一集真的是有內涵深度又有動作場面的經典
: 而這次續集雖然這世界觀很好掰
: 但導演從兄弟變兄妹再變姐妹
: 近期作品可說是每況愈下
: 都能稱為該年最差的那種了...
: 到了這集更只剩下姐姐一人來拍了
: 為了基努還是會進場看啦
: 只是實在不看好...
: -----
: Sent from JPTT on my iPhone

無聊間看到廢文那我也來回廢文

我這個人是支持好看的經典電影拍成系列作啦

拍得好就是延續經典

例如教父2足以比肩教父1

帝國大反擊足以比肩曙光乍現

衝鋒飛車隊足以比肩迷霧追魂手

以上三部續集甚至更可以說超越了首集


拍不好的話你可以選擇自動無視

例如星際大戰我只愛4-6

1-3就當作是GL圓夢的外傳性質

7跟8純粹只是米老鼠的智障同人作

我拒絕承認這是星際大戰


所以你當然也可以認為駭客任務只有1999這一集而已

重裝上陣跟最後戰役只是多餘的狗尾續貂

如今要拍駭客任務4 應該放開心胸的接受

拍得好就是經典延續 拍不好就自動無視

首集的經典地位不會因為系列作續集拍爛而有所動搖

實際上也有瘋狂麥斯這部間隔許久才拍的續集電影

創造出叫好叫座的成績


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.160.137.98 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566401249.A.A62.html
※ 編輯: ronray7799 (1.160.137.98 臺灣), 08/21/2019 23:36:18
"
bestbamboo (小錦囊),movie,[情報] 8/21 當週10部新片預告+Youtube點閱排行,Wed Aug 21 23:28:16 2019,4,"


本週上映新片 10 部


Youtube點閱排行榜前五名
1.全面攻佔3：天使救援－8.5萬
2.航海王：奪寶爭霸戰－4.7萬
3.下半場－3.8萬
4.貞子：起源－3.2萬
5.殺手寓言－1.5萬

----------------------

動作犯罪
　
《全面攻佔3：天使救援》｜美｜120分｜海樂
https://youtu.be/UokmfCVxzLM

兄弟親情
　
《光》｜馬來西亞｜88分｜滿滿額
https://youtu.be/Gw2p-WLPc6s


《下半場》｜台灣｜117分｜華納
https://youtu.be/SKDUR7vV94U

動畫漫畫
　
《航海王：奪寶爭霸戰》｜日｜101分｜?喜
https://youtu.be/5muHxNFipo0

動作喜劇
　
《殺手寓言》｜日｜124分｜采昌
https://youtu.be/eQZ0u4yed7Y

驚悚懸疑
　
《貞子：起源》｜日｜99分｜車庫
https://youtu.be/i-rJ6i16Sx8


《地獄家政婦》｜美｜90分｜暗光鳥
https://youtu.be/U_m0LmIOSSU


《深夜加油站遇見抓狂衰事》｜美｜88分｜本萃
https://youtu.be/QM0w2iXn5jg

複雜情感
　
《再見了，唇》｜日｜116分｜天馬
https://youtu.be/oZkMIXUIZYE

佈局改編
　
《偵兇》｜義大利｜102分｜海鵬
https://youtu.be/Np-axJOrscc

----------------------

這週有兩部兄弟情的電影都滿好看的，歡迎進戲院支持喔！

以上資料以官方頻道為主，其他影視頻道為輔，提供點閱數做為電影未上映前的參考。

----------------

電影說書人的電影開箱文  http://movie.pse.is/FTZPV

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.42.39.205 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566401298.A.F8D.html
"
Gotham (萬惡之城),movie,[新聞] 007情報員有多忙 新片片名露端倪,Wed Aug 21 23:59:15 2019,10,"
007情報員有多忙 新片片名露端倪


（中央社倫敦20日綜合外電報導）預計明年4月上映的007系列最新鉅製，片商今天公布片
名為No Time To Die，劇中男主角詹姆斯龐德將由英國性格男星丹尼爾克雷格擔綱，這也
是他最後一次飾演龐德。

根據官方版劇情介紹，No Time To Die是第25部007情報員系列電影，這部承襲以往007系
列的冒險犯難風格動作片，描述退役的龐德因劇中好友美國中情局探員費利克斯雷特（
Felix Leiter）力邀而重出江湖，涉險救援被綁架的科學家。

全片目前仍在拍攝中，但是過程卻波折不斷，英國松木片廠（Pinewood Studios）6月發
生爆炸波及一處場景，以致攝影棚毀損及一人受輕傷。

英國「太陽報」（The Sun）報導，因特效出錯而發生這起3連爆的爆炸後，掀翻攝影棚的
屋頂與多處牆面。

第5度主演龐德的英國男星丹尼爾克雷格（Daniel Craig）先前在牙買加拍片受傷腳踝動
手術。

奧斯卡影帝雷米馬利克（Rami Malek）在這部龐德迷引頸期盼的新片飾演反派角色。No
Time To Die可說是丹尼爾克雷格飾演007長達8年的封箱之作。

英國男星雷夫范恩斯（Ralph Fiennes）將再度跨刀飾演令龐德頭痛的上司，還有法國女
星蕾雅瑟度（Lea Seydoux）也來助陣，卡司陣容堅強。

應丹尼爾克雷格的要求，為No Time To Die注入更多有看頭及增色的幽默詼諧元素，製作
團隊延攬曾因電視劇「倫敦生活」（Fleabag）獲艾美獎提名的編劇華勒-布瑞吉（
Phoebe Waller-Bridge）。

由於劇本的爭議難擺平，以及奧斯卡金獎導演丹尼鮑伊（Danny Boyle）辭退改由「無境
之獸」（Beasts of No Nation）的導演凱瑞福永（Cary Fukunaga）接手，以致全片的籌
拍一再延宕。

No Time To Die預計明年4月3日在英國首映，5天後在美國上映。

（譯者：曹宇帆/核稿：陳昱婷）1080821


新聞網址：
https://www.cna.com.tw/news/amov/201908210271.aspx


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.136.144.33 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566403158.A.820.html
"
HeyGod (嘿尬),movie,[討論] 對於復4裡的鋼鐵人的疑問,Thu Aug 22 00:08:51 2019,14,"
還是簡單防個雷好了















就是Tony回到1970年時，聽到他爸爸說老婆正懷孕為什麼那麼驚訝？難道他不知道自己
的生日嗎？

這邊顯示Tony Stark的生日為1970.05.29
https://i.imgur.com/mMcmDVk.jpg

從他回去的時間點1970.04.07來看他媽那時都快生了咧

不知大家有什麼看法咧？

如果有討論過先說抱歉，畢竟沒辦法每篇討論文都看過


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.39.27.92 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566403734.A.6E2.html
"
walkingdead (竹科柯文哲),movie,[討論] 沒了鋼鐵人的漫威？！,Thu Aug 22 01:28:04 2019,-1,"

大家好 打給賀

想請問一下各位版友

自從復仇者聯盟 終局之戰

最後鋼鐵人死了之後

我看漫威的電影就都提不起勁

感覺漫威的電影少了什麼一樣卻也說不出來

有人跟我一樣的感覺嗎？

But why？ 為什麼我會有這種情況呢？

https://i.imgur.com/KqBVxG3.jpg
-----
Sent from JPTT on my iPhone

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.83.102.121 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566408486.A.B34.html
閣下可以發篇不廢的文章來看看嗎？
就知道鋼鐵人死了之後再回頭看到其他作品在電影台播出時，會轉掉不會想看啊
※ 編輯: walkingdead (111.83.102.121 臺灣), 08/22/2019 01:42:24
※ 編輯: walkingdead (111.83.102.121 臺灣), 08/22/2019 01:43:20
※ 編輯: walkingdead (111.83.102.121 臺灣), 08/22/2019 01:47:01
"
jobechi (),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 17:54:07 2019,73,"
這裡好像真的一堆人自以為

現在所有英雄電影都是沾MCU的光

就拿蜘蛛人來說好了

先不論你個人覺得到底哪個版本最好

這本來就是個人喜好沒有標準答案

但就票房來說

2002蜘蛛人  8.2億
2004蜘蛛人2  7.8億
2007蜘蛛人3  8.9億


2012蜘蛛人:驚奇再起  7.5億
2014蜘蛛人:驚奇再起2  7.09億


2017蜘蛛人:返校日  8.8億
2019蜘蛛人:離家日  11億(目前）

那些說蜘蛛人是沾MCU光的人

如果真的是沾MCU的光請問返校日有鋼鐵人的加持怎麼也才8.8億

而首次破10億的離家日還是打著MCU第三階段真正結尾的招牌才能有這種成績

如果你是SONY把版權借給你迪士尼結果跟我自己拍票房差不多

雖然票房是SONY全拿但周邊收入都不能拿

然後現在迪士尼還打算來跟你分一杯羹

你的商業考量是自己來還是繼續跟迪士尼合作？

不用把漫威電影工作室想的多偉大

當年沒有MCU他們一樣可以拍出能看的電影

畢竟本身英雄知名度就已經夠了

不要拍的像重啟的驚奇4超人那麼爛基本上觀眾都會買單

然後總會有人說如果真的拆夥大家會抵制看蜘蛛人

漫威電影工作室自己說過

當年他們預算有限所以很多系列是找小咖便宜的演員來當主角

因為他們認為只要角色本身知名度夠誰來演都一樣

這句話套在製作電影的公司也是一樣

只要有公司能拍出能看(不用到好看)的英雄電影

誰會在意你是不是跟MCU有關聯性

所以我說不用把漫威電影工作室想的太偉大

蜘蛛人是IGN百大英雄排名的第三名漫威的第一名

你覺得SONY會很在意蜘蛛人有沒有出現在MCU裡面嗎？

只有我們觀眾在意而已

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.13.241.26 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566381249.A.43C.html
"
dameontree (花開花落自有時),movie,[討論] 只有我覺得漫威完蛋了嗎？,Wed Aug 21 18:29:05 2019,-22,"

如提

迪士尼與SONY談判破局

怎麼這邊一面倒認為是索尼吃虧 是索尼不知好歹不接受迪士尼條件

好像索尼罪大惡極一定會走下坡一樣


正好相反好嗎？

當初沒有陶比蜘蛛人   英雄電影這個類型片還不知根本能不能崛起勒

漫威二十幾部 都是為蜘蛛人鋪陳的好不好

都是觀眾在期待未來有一天漫威頭號招牌蜘蛛人的加入才看的

沒有蜘蛛人  誰理你那些雜魚英雄

跟蜘蛛人比 什麼黑豹驚奇隊長啥的都是雜魚


我敢說如果確定漫威宇宙未來沒有蜘蛛人

剩下那些跑龍套的英雄電影

漫威電影只會走下坡


我支持SONY 抵制萬惡老鼠帝國


--
一樓老婆  https://imgur.com/Br670mI
三樓老婆  https://imgur.com/qON0jcS
五樓老婆  https://imgur.com/4TvzKQu
七樓老婆  https://imgur.com/g79c8GU

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.166.77.156 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566383348.A.B53.html
"
shamanlin (佐藤必須死),movie,Re: [閒聊] 關於押井守,Wed Aug 21 18:47:45 2019,8,"
※ 引述《fightclubgf (streetfighter!!!!)》之銘言：
: : 大洗才一夕之間鹹魚翻身，要不然他們可能會被押井守害一輩子:)

我第一次看到有人跟我有類似想法

: 那個機動警察真人版 應該算是重開機或平行世界之類的
: 不能算竄改吧

不算竄改，算是毀滅吧

裡面各種劇情腦洞就不說了，可能電波沒到

但真人版直接把機動警察的根基也就是Patlabor的存在意義直接毀掉是三小？

: 當初只看了一集感覺不太好看，
: 後來也忘了有這件事，就沒再看了
: 剛看了討論，才想起來還有這件事...
: 我覺得押井守不太擅長拍真人版的電影
: 不只是他，一些動畫導演拍真人電影畫面都怪怪的
: 分鏡和動作都有點問題，
: 像庵野秀明也拍過好幾部真人電影，也有一樣的問題
: 有些動作和分鏡像違反物理、方向不連貫...，在動畫上可能成立，
: 但套在真人就是怪
: 還有押井守應該也比較不擅長自己創作角色，
: 所以常拿別的作品的角色或設定講自己的故事
不只是真人，動畫也都是同樣的問題

如你說的押井守愛用別人的作品來講自己要說的故事

其結果就是作品本身主題、角色的個性特色全部都會被消滅

再怎麼開朗或幽默的角色都會變得死氣沉沉不知道家裡死多少人

變成單純用來講他故事的棋子


這件事不是一開始就發生，譬如機動警察電影版第一集就還好

但是拿第二集跟第一集去比較就會發現明顯的差異


其實攻殼機動隊也是同樣的問題，電影版就是那種死魚臉

每個角色的特色都先砍掉一半以上，反正都是那樣都差不多

這也是為什麼我給神山版評價遠高於押井守版的原因

因為神山版的角色是活的

: 也有可能是因為他講的故事都比較不討喜的
: 如果全部自己創作 會沒有人買單
: 但如果是拿其他作品來改的話，有基本的觀眾群，風險會小很多
所以我覺得他的評價會是兩極化

不喜歡他風格的，就覺得他亂改作品狂掉書袋自以為高深想買風評

喜歡他風格的，就覺得各種高深意境好棒棒，討厭的人看不懂

就類似好萊塢跟藝術電影的差別

: 他執導福星小子TV時就常常這樣玩了
: 雖然是很多惡搞，不過我還蠻喜歡的
: 他拍的福星小子電影版第二集是系列評價最高
: 不過因為大改原作，讓高橋留美子很不滿，
: 可能是這樣，後來的幾部劇場版導演都不是他了
: 茨城縣大洗是那一部，完全沒印象
: 我猜應該是早期的作品吧
: 動畫的事應該沒有幾個人信以為真吧
: 而且他的作品都是架空或近未來的
: 就算有描寫到某地方與事實不符
: 也不應該有這個影響力 造就這個偏見吧

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.228.9.124 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566384468.A.D5E.html
"
hahaha0204 (哈哈哈),movie,[新聞] 蜘蛛人與死侍合體希望破滅！萊恩雷諾斯正,Wed Aug 21 19:36:19 2019,8,"
蜘蛛人與死侍合體希望破滅！萊恩雷諾斯正面回應「賤蟲 CP 再度被拆散」消息！

23 歲的英國男演員湯姆荷蘭（Tom Holland）在索尼與漫威決定攜手合作重啟《蜘蛛人》
系列電影後，從 2016 年《美國隊長 3：英雄內戰》（Captain America: Civil War）開
始正式扮演新一代蜘蛛人，擁有稚嫩臉蛋的湯姆荷蘭馬上就演出了與索尼前兩代陶比麥奎
爾（Tobey Maguire）、安德魯加菲爾德（Andrew Garfield）不同的青春氣息。
不過對於漫威漫畫粉絲來說《蜘蛛人》真人電影一直都存在著一大遺憾，那就是「賤蟲遲
遲未能合體」！

在漫威漫畫當中，同樣穿著紅色超級英雄戰袍的蜘蛛人與死侍一向是「歡喜冤家」，大量
漫威迷都非常喜歡看「賤蟲」互相嘴砲的橋段，因此也不斷期待著蜘蛛人與死侍能夠在真
人超級英雄電影中合體，這也是為什麼之前萊恩雷諾斯（Ryan Reynolds）曾於金球獎頒
獎典禮當眾親吻這位蜘蛛人演員時，火速就引起了大量網友激動不已的反應。

就在今年迪士尼完成收購二十世紀福斯之後，死侍的角色電影版權終於隨著 X 戰警一起
回到了漫威本家，讓蜘蛛人與死侍合體產生了曙光！但沒想到就在今天「索尼與漫威談判
破裂，湯姆荷蘭《蜘蛛人》電影未來要退出 MCU！」勁爆消息公開之後，索尼計畫將全數
收回蜘蛛人電影版權自行拍攝，讓許多網友心碎「賤蟲 CP 再度被拆散」！

索尼和漫威分手這個好萊塢驚天消息，也震撼了「死侍」演員本人萊恩雷諾斯。當擔憂的
漫威粉絲跑去推特詢問：「現在我們還有機會看見蜘蛛人與死侍合體的電影嗎？」沒想到
這位網友的提問獲得了萊恩雷諾斯親自回應：「你會看到（賤蟲電影），但你只能在我的
心裡看到。」透露出連萊恩雷諾斯本尊都為《蜘蛛人》電影系列離開 MCU 的消息感慨不
已。

https://static.juksy.com/files/articles/93738/5d5cbbeecd4e5.jpg

沒想到現在就連「鷹眼」傑瑞米雷納（Jeremy Renner）也跳出來說話了！身為漫威宇宙
一員的他在推特上公開喊話索尼影業：「嘿索尼，我們想要讓蜘蛛人回到史丹李和漫威家
庭中，拜託了，謝謝你。」

https://static.juksy.com/files/articles/93738/5d5cbbee603e7.jpg

另一方面有趣的是，就在今年 5 月底《蜘蛛人：離家日》上映前夕，漫威工作室官方帳
號詢問大家：「蜘蛛人返校日、蜘蛛人離家日，大家對下一部角色電影的片名有任何點子
嗎？」當時湯姆荷蘭的本尊帳號居然來幽默回應：「下部是《蜘蛛人：無家可歸》」沒想
到在 3 個月後湯姆荷蘭竟變成了先知！如果還想要回味荷蘭弟在 MCU 的最後時光，別忘
了「《蜘蛛人：離家日》也官方宣佈要重新上映」，看來這部電影很有可能是大家回味彼
得帕克與鋼鐵人溫馨「父子情」的最後時光了，一旦索尼收回版權，電影中就不會再出現
任何 MCU 角色。

https://static.juksy.com/files/articles/93738/5d5cc0486bbb5.jpg

https://www.juksy.com/archives/93738

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.165.225.112 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566387383.A.9B4.html
"
hahaha0204 (哈哈哈),movie,[新聞] 《牠 第二章》首波媒體評價出爐,Wed Aug 21 19:41:13 2019,31,"
《牠 第二章》首波媒體評價出爐

改編自史蒂芬金（Stephen King）同名著作的電影續作《牠 第二章》（It: Chapter）即
將在下個月初上映，日前國外率先釋出了首波媒體評價，成人版的魯蛇俱樂部比起少年版
或許略遜一籌，但有不少人提到比爾海德（Bill Hader）的表現是一大亮點，而將近三個
小時的片長雖然看來有點令人擔心，但整體來說還算是正面評價。

Collider 編輯海莉法屈（Haleigh Foutch）：《牠 第二章》是成功且具有野心的，雖然
並不是完全能夠承擔期待的重量，但仍然是一部真誠的恐怖片，而這部分也表現得很好，
比爾海德也成為了我們所希望的偷走每一幕的亮點。

Cinema Blend 總經理尚恩歐康納（Sean O'Connell）：《牠 第二章》是很好，但還不到
很棒；我很喜歡，但還不到熱愛。第一集立下了難以衡量的標準，而第二集則是陰森、奇
怪但極度可怕。點出了書中很重要的觀點，但感覺有點過長。不過卡司還是很棒，比爾海
德應該要得到奧斯卡的討論。

slashfilm 電影評論克里斯伊凡傑利斯塔（Chris Evangelista）：《牠 第二章》的第一
幕有些倉促、粗略，成人版的魯蛇俱樂部也少了一點什麼，但這部電影最終仍有找到自己
的立足點。這是一部成功的電影，一部不畏懼打破恐怖大片規矩做出一些詭異選擇的電影
。比爾海德搶走了所有風采。

Uproxx 資深娛樂作者麥可萊恩（Mike Ryan）：以多數情況來說我是喜歡《牠 第二章》
的，（在這超級長的電影）前半段很棒，新的成人版卡司很優秀，但後半段就不是那麼緊
湊，整體來說，這一集沒有上一集來的牢固。

Fandango 總編輯埃瑞克戴維斯（Erik Davis）：《牠 第二章》與《牠》是非常好的兩部
曲電影，有著類似的氛圍、絕佳的團隊默契，以及幽默與恐怖的美妙結合。《牠 第二章
》的步調更加沈重，像是處理童年創傷所造成的負擔，在最後我肯定有落下幾滴淚。比爾
海德搶走了所有目光。

Joblo 主編保羅謝瑞（Paul Shirey）：真的很喜歡《牠 第二章》，跟《牠》簡直是完美
拍檔。在少年與成人卡司之間有些令人震驚、恐怖的事情。比爾海德肯定奪走了整部電影
的目光，平衡了真摯的情感與大量的突發驚嚇。

The Mary Sue 助理編輯凱特蓋德納（Kate Gardner）：《牠 第二張》在友情與創傷上有
很棒的見解，讓我無法停止思考。比爾海德與詹姆斯蘭森（James Ransone）絕對是全場
亮點，我等不及要再看一遍了。

https://www.hypesphere.com/news/16987

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.165.225.112 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566387676.A.D60.html
"
jeanvanjohn (尚市長),movie,Re: [新聞] 《牠 第二章》首波媒體評價出爐,Wed Aug 21 19:57:54 2019,1,"

借標題問一個問題:

導演計畫中的下一部片""進擊的巨人""有消息了嗎?

自從他說接下這部片的導演筒之後，到現在一直沒聽說有什麼進度，
有新的情報了嗎?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 58.114.214.43 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566388676.A.1F8.html

那進擊又要延後嗎?
※ 編輯: jeanvanjohn (58.114.214.43 臺灣), 08/21/2019 22:21:19
"
